date,time,user_name,text,link,retweet_counts,favorite_counts
2019-04-20,23:35:33,click4tea,보도 안되거나 보도시 당명이 빠지면 100퍼 더불어 민주당임. 언론 장악효과 굿 ,https://twitter.com/click4tea/status/1119746453587369987,1,1
2019-04-20,23:22:21,stlcho,더불어민주당 고양시 지역위원회 한마음 운동회&gt; #고앙갑을병정 #고양정 #김현미,https://twitter.com/stlcho/status/1119743134139727872,3,3
2019-04-20,23:21:27,stlcho,"더불어민주당 고양시 지역위원회 한마음 운동회&gt; ""당원과 더불어, 한마음 한뜻으로 나아가겠습니다"" #고앙갑을병정 #고양정 #김현미",https://twitter.com/stlcho/status/1119742908540710912,4,7
2019-04-20,22:55:42,dctkjjh3,한국에 없는 것 1.자유한국당에 자유 2.더불어민주당에 민주 3.정의당에 정의 4.바른미래당에 미래(또르르),https://twitter.com/dctkjjh3/status/1119736424926867456,0,0
2019-04-20,22:53:10,dongho8888,설훈은 그 입으로 죄를 더이상 짖지 말기를 바란다 이미 당신이 감당할수 없는 죄가 있다 더불어민주당 설훈 최고위원이 ˝박근혜 전 대통령이 형 집행정지로 풀려나기 위해서는 국민 앞에 국정운영에 대해 사과해야 한다˝고 했다. 설 최고위원은 19일 오전 YTN라디오 ´김.. ,https://twitter.com/dongho8888/status/1119735788160344065,31,29
2019-04-20,22:09:00,2212jung,더민주 당원연합.자네들 정신차려 자네들이 더불어민주당 분열시키는 거야. 니들이 일베인지.똥파리인지 .그들이 하는짓거리를 하고있다. 자한당 에 태극기 부대에 있는대. 더민주에.당원연합이 있나? 이재명이 민주당 대들보다. ,https://twitter.com/2212jung/status/1119724675645366272,0,2
2019-04-20,18:00:30,antimbcafe,"조선일보 전략, 태극기모독단 이용해 자한당 ‘중도’ 위장? http://amn.kr/sub_read.html?uid=34005 실제 ‘중도 우파’ 더불어민주당이 극좌파로 몰리는 대한민국 현실",https://twitter.com/antimbcafe/status/1119662137951916032,0,0
2019-04-20,17:57:08,Gangnam4856,6 13 지방선거를 50여일 앞두고 경기도청의 해외 출장이 급증하고 있다. 이재명 전 경기 성남시장이 제7대 전국동시지방선거 더불어민주당 경기지사 후보로 20일 최종 확정됐다. 강남오피,https://twitter.com/Gangnam4856/status/1119661290106920960,0,0
2019-04-20,15:41:54,uriminzok,더불어민주당 각종 망언들을 쏟아내는 《자유한국당》을 강력히 규탄 http://uriminzokkiri.com/index.php?ptype=ugisa1&amp;no=1170925&amp;pagenum=1,https://twitter.com/uriminzok/status/1119627256106586112,0,1
2019-04-20,15:30:28,amnseoul,"조선일보 전략, 태극기모독단 이용해 자한당 ‘중도’ 위장? http://amn.kr/sub_read.html?uid=34005 다른 나라에선 ‘중도 우파’로 불릴 더불어민주당이 극좌파로 불리는, 정말 어이없는 현실, 조선일보같은 언론이 만들어낸 황당함",https://twitter.com/amnseoul/status/1119624381158658048,10,6
2019-04-20,15:09:23,xm6m2b0e,더불어민주당 하는짓보면 자신들이 성인군자인양 치장하고 막상 지나고나면 꼼수다. 자유한국당은 일본국회로 출근하지 한국에 왜 사냐 국정원 이시발것들 언재 해체되냐? 오늘 심리전에 시달리고 나니 밥 3그릇이나 기도도 안하고 처드시고 짜증 확 올라온다.,https://twitter.com/xm6m2b0e/status/1119619072881123328,0,0
2019-04-20,15:02:35,jjr19713,나는 죽을 때까지 더불어민주당에게만 투표해야지..... 문재인대통령님 다음은 이낙연총리님 그다음은 김경수도지사님 ....이런 순서로...대통령이 되면 좋겠다. ,https://twitter.com/jjr19713/status/1119617364494917637,1,1
2019-04-20,14:57:03,HwaByungKang,ㅡ서울신문 4월18일 사설ㅡ 청와대 독주에 실망을 넘어 염증을 느끼는 사람들이 많다. 더불어민주당이 반성을 한 날은 4.3 보궐선거에서 참패한 다음날 단 하루뿐이었다. 딱 줄 사람은 생각도 않는데 김칫국부터 마시면 되겠는가? 기가 막힌다. ,https://twitter.com/HwaByungKang/status/1119615970736132096,0,0
2019-04-20,14:54:39,DuReaKang,ㅡ서울신문 4월18일 사설ㅡ 청와대 독주에 실망을 넘어 염증을 느끼는 사람들이 많다. 더불어민주당이 반성을 한 날은 4.3 보궐선거에서 참패한 다음날 단 하루뿐이었다. 딱 줄 사람은 생각도 않는데 김칫국부터 마시면 되겠는가? 기가 막힌다. ,https://twitter.com/DuReaKang/status/1119615368455024640,0,0
2019-04-20,14:54:11,DuReaKing,ㅡ서울신문 4월18일 사설ㅡ 청와대 독주에 실망을 넘어 염증을 느끼는 사람들이 많다. 더불어민주당이 반성을 한 날은 4.3 보궐선거에서 참패한 다음날 단 하루뿐이었다. 딱 줄 사람은 생각도 않는데 김칫국부터 마시면 되겠는가? 기가 막힌다. ,https://twitter.com/DuReaKing/status/1119615248363741184,0,0
2019-04-20,14:47:30,HwaByungKang,ㅡ서울신문 4월 17일자ㅡ 더불어민주당이 전략 공천이 아닌 경선 공천으로 가는 길은 매우 바람직하다. 또한 경선으로 가는 그 길은 아름다워야 한다. 경 선 불 복 자 들 은 안 된다. 경선 불복 뉘앙스가 있었던 자 역시 경선(공천)은 안 된다. ,https://twitter.com/HwaByungKang/status/1119613566787575810,0,0
2019-04-20,14:47:12,DuReaKang,ㅡ서울신문 4월 17일자ㅡ 더불어민주당이 전략 공천이 아닌 경선 공천으로 가는 길은 매우 바람직하다. 또한 경선으로 가는 그 길은 아름다워야 한다. 경 선 불 복 자 들 은 안 된다. 경선 불복 뉘앙스가 있었던 자 역시 경선(공천)은 안 된다. ,https://twitter.com/DuReaKang/status/1119613490761625600,0,1
2019-04-20,14:45:32,DuReaKing,ㅡ서울신문 4월 17일자ㅡ 더불어민주당이 전략 공천이 아닌 경선 공천으로 가는 길은 매우 바람직하다. 또한 경선으로 가는 그 길은 아름다워야 한다. 경 선 불 복 자 들 은 안 된다. 경선 불복 뉘앙스가 있었던 자 역시 경선(공천)은 안 된다. ,https://twitter.com/DuReaKing/status/1119613070999842818,0,0
2019-04-20,14:38:50,eillnami,더불어민주당 부산시당 최근에 연산동으로 이사가서 거기 임대 딱지 붙었죠...,https://twitter.com/eillnami/status/1119611384252129280,0,0
2019-04-20,14:02:34,Frei_AberEinsam,"5자구도서 안철수 36.8% vs 문재인 32.7% 4자구도서 安이 文에 4.3%p∼6.8%p, 양자구도선 13.2%p 앞서 국민의당 안철수 대선 후보가 5자·4자·양자구도 등 모든 경우의 수에서 더불어민주당 문재인 후보를 제치고 1위를 차지했다는 여론조사 결과가 9일 나왔다. http://m.blog.daum.net/_blog/_m/articleView.do?blogid=03vPe&amp;articleno=15929783",https://twitter.com/Frei_AberEinsam/status/1119602257580871681,10,6
